Port,Value,Time Stamp
PTN004,2751.57,1.077533007
PTN004,1946.71,1.102461815
PTN004,1391.18,1.124022722
PTN004,1071.49,1.145615339
PTN004,904.88,1.167162895
PTN004,810.15,1.188435793
PTN004,757.1,1.210363865
PTN004,737.64,1.232597589
PTN004,727.92,1.254484653
PTN004,719.2,1.276096344
PTN004,722.86,1.297935247
PTN004,726.02,1.319742441
PTN004,730.06,1.341676474
PTN004,737.77,1.36322546
PTN004,747.5,1.384902
PTN004,752.67,1.406997919
PTN004,764.93,1.429071903
PTN004,776.29,1.45077467
PTN004,781.35,1.472521782
PTN004,788.17,1.494190216
PTN004,800.04,1.515902519
PTN004,809.52,1.537478685
PTN004,815.83,1.559455395
PTN004,828.46,1.580723524
PTN004,836.17,1.603123665
PTN004,840.84,1.624672174
PTN004,853.09,1.647679567
PTN004,875.32,1.67045927
PTN004,884.04,1.69329834
PTN004,895.15,1.716212749
PTN004,903.87,1.738898277
PTN004,912.46,1.761845112
PTN004,929.01,1.785004616
PTN004,937.72,1.807840347
PTN004,934.19,1.829202414
PTN004,937.97,1.850672722
PTN004,941.64,1.872866154
PTN004,950.1,1.896148443
PTN004,964.88,1.918934107
PTN004,965.38,1.940880537
PTN004,972.58,1.963824272
PTN004,987.24,1.986831188
PTN004,992.29,2.009489059
PTN004,1000.63,2.032721758
PTN004,1005.93,2.055298567
PTN004,1017.55,2.079392433
PTN004,1029.17,2.102885723
PTN004,1033.21,2.12547493
PTN004,1033.97,2.147734404
PTN004,1036.88,2.17086792
PTN004,1044.71,2.193142176
PTN004,1053.17,2.216400623
PTN004,1055.95,2.238928556
PTN004,1055.45,2.261365891
PTN004,1064.92,2.284651995
PTN004,1069.47,2.307949305
PTN004,1078.18,2.330714226
PTN004,1081.09,2.353239298
PTN004,1082.48,2.376358986
PTN004,1094.35,2.399353027
PTN004,1101.93,2.423591852
PTN004,1104.45,2.446013927
PTN004,1105.09,2.468197823
PTN004,1105.47,2.491573095
PTN004,1113.8,2.514581442
PTN004,1112.92,2.537212372
PTN004,1114.81,2.560209036
PTN004,1125.55,2.582564354
PTN004,1123.91,2.604819059
PTN004,1120.37,2.62752676
PTN004,1127.06,2.649485826
PTN004,1126.81,2.671744823
PTN004,1128.45,2.694056034
PTN004,1131.36,2.716232538
PTN004,1133.0,2.739207745
PTN004,1133.63,2.762001991
PTN004,1144.5,2.784870148
PTN004,1140.07,2.807348728
PTN004,1142.85,2.829231977
PTN004,1140.33,2.850512505
PTN004,1136.54,2.872150183
PTN004,1139.95,2.894343615
PTN004,1145.0,2.916315794
PTN004,1143.23,2.938769817
PTN004,1142.73,2.960784912
PTN004,1150.81,2.983213663
PTN004,1152.45,3.006028652
PTN004,1153.21,3.028515816
PTN004,1159.4,3.050851583
PTN004,1158.9,3.073266029
PTN004,1163.44,3.096016645
PTN004,1170.77,3.118997097
PTN004,1163.44,3.141062737
PTN004,1168.5,3.163401604
PTN004,1171.02,3.185256958
PTN004,1166.22,3.207152843
PTN004,1172.03,3.229776382
PTN004,1174.43,3.251714706
PTN004,1174.56,3.273896217
PTN004,1176.33,3.295846462
PTN004,1178.98,3.317818165
PTN004,1174.94,3.34010005
PTN004,1178.73,3.362287283
PTN004,1184.28,3.384648561
PTN004,1181.88,3.406930685
PTN004,1182.39,3.42882514
PTN004,1183.78,3.450734615
PTN004,1183.53,3.472842932
PTN004,1183.91,3.494956493
PTN004,1188.71,3.516966581
PTN004,1188.58,3.539493561
PTN004,1190.22,3.562002897
PTN004,1198.43,3.584901094
PTN004,1198.81,3.607641697
PTN004,1199.95,3.629992008
PTN004,1205.0,3.652538776
PTN004,1201.34,3.674977541
PTN004,1207.15,3.697598457
PTN004,1213.34,3.720364571
PTN004,1204.49,3.742585659
PTN004,1210.05,3.765157223
PTN004,1219.15,3.788954496
PTN004,1215.36,3.811724186
PTN004,1219.4,3.834582806
PTN004,1215.48,3.856692553
PTN004,1215.36,3.878863573
PTN004,1219.02,3.90107131
PTN004,1218.14,3.923497915
PTN004,1219.53,3.945826292
PTN004,1221.8,3.967938662
PTN004,1221.67,3.990455151
PTN004,1224.2,4.012879372
PTN004,1225.71,4.035267353
PTN004,1222.18,4.057705402
PTN004,1228.24,4.080059052
PTN004,1232.28,4.102561951
PTN004,1228.62,4.12514925
PTN004,1232.28,4.147652149
PTN004,1230.89,4.16984725
PTN004,1229.5,4.192035675
PTN004,1231.15,4.214053631
PTN004,1232.41,4.236331224
PTN004,1229.38,4.258422136
PTN004,1236.32,4.280817986
PTN004,1239.1,4.303735018
PTN004,1238.35,4.325964212
PTN004,1239.23,4.348356009
PTN004,1239.61,4.370289564
PTN004,1232.79,4.391625404
PTN004,1231.4,4.413258553
PTN004,1235.95,4.435362101
PTN004,1234.18,4.457613468
PTN004,1237.84,4.480019093
PTN004,1242.14,4.502439499
PTN004,1239.1,4.525049448
PTN004,1245.17,4.548170328
PTN004,1245.55,4.570363522
PTN004,1243.52,4.593033552
PTN004,1250.09,4.616247654
PTN004,1253.88,4.639015675
PTN004,1248.45,4.660996675
PTN004,1251.74,4.683638334
PTN004,1253.25,4.706705093
