Port,Value,Time Stamp
LCN002,3681.19,1.077533007
LCN002,2760.75,1.102461815
LCN002,2017.09,1.124022722
LCN002,1545.5,1.145615339
LCN002,1270.77,1.167162895
LCN002,1094.94,1.188435793
LCN002,1004.19,1.210363865
LCN002,971.03,1.232597589
LCN002,942.99,1.254484653
LCN002,924.8,1.276096344
LCN002,935.41,1.297935247
LCN002,933.52,1.319742441
LCN002,928.78,1.341676474
LCN002,943.18,1.36322546
LCN002,960.8,1.384902
LCN002,957.96,1.406997919
LCN002,974.63,1.429071903
LCN002,991.3,1.45077467
LCN002,995.28,1.472521782
LCN002,1004.76,1.494190216
LCN002,1026.55,1.515902519
LCN002,1026.74,1.537478685
LCN002,1031.09,1.559455395
LCN002,1054.59,1.580723524
LCN002,1066.71,1.603123665
LCN002,1065.58,1.624672174
LCN002,1092.1,1.647679567
LCN002,1113.32,1.67045927
LCN002,1125.83,1.69329834
LCN002,1146.48,1.716212749
LCN002,1151.22,1.738898277
LCN002,1165.24,1.761845112
LCN002,1190.44,1.785004616
LCN002,1196.12,1.807840347
LCN002,1197.64,1.829202414
LCN002,1205.03,1.850672722
LCN002,1202.18,1.872866154
LCN002,1216.96,1.896148443
LCN002,1237.8,1.918934107
LCN002,1234.96,1.940880537
LCN002,1251.07,1.963824272
LCN002,1272.29,1.986831188
LCN002,1274.18,2.009489059
LCN002,1295.02,2.032721758
LCN002,1295.4,2.055298567
LCN002,1313.97,2.079392433
LCN002,1333.11,2.102885723
LCN002,1329.7,2.12547493
LCN002,1343.34,2.147734404
LCN002,1347.7,2.17086792
LCN002,1343.91,2.193142176
LCN002,1365.88,2.216400623
LCN002,1364.37,2.238928556
LCN002,1363.61,2.261365891
LCN002,1385.78,2.284651995
LCN002,1386.92,2.307949305
LCN002,1402.45,2.330714226
LCN002,1408.33,2.353239298
LCN002,1404.54,2.376358986
LCN002,1421.97,2.399353027
LCN002,1429.74,2.423591852
LCN002,1437.88,2.446013927
LCN002,1440.54,2.468197823
LCN002,1438.83,2.491573095
LCN002,1454.56,2.514581442
LCN002,1452.09,2.537212372
LCN002,1449.82,2.560209036
LCN002,1470.85,2.582564354
LCN002,1465.92,2.604819059
LCN002,1462.32,2.62752676
LCN002,1472.93,2.649485826
LCN002,1471.42,2.671744823
LCN002,1471.99,2.694056034
LCN002,1482.98,2.716232538
LCN002,1479.57,2.739207745
LCN002,1483.17,2.762001991
LCN002,1500.41,2.784870148
LCN002,1490.74,2.807348728
LCN002,1496.05,2.829231977
LCN002,1500.98,2.850512505
LCN002,1492.45,2.872150183
LCN002,1493.02,2.894343615
LCN002,1505.9,2.916315794
LCN002,1500.03,2.938769817
LCN002,1497.19,2.960784912
LCN002,1515.38,2.983213663
LCN002,1515.19,3.006028652
LCN002,1514.62,3.028515816
LCN002,1527.31,3.050851583
LCN002,1521.82,3.073266029
LCN002,1528.07,3.096016645
LCN002,1539.82,3.118997097
LCN002,1526.93,3.141062737
LCN002,1538.87,3.163401604
LCN002,1544.93,3.185256958
LCN002,1532.05,3.207152843
LCN002,1542.47,3.229776382
LCN002,1550.43,3.251714706
LCN002,1545.69,3.273896217
LCN002,1545.5,3.295846462
LCN002,1556.3,3.317818165
LCN002,1547.21,3.34010005
LCN002,1551.56,3.362287283
LCN002,1568.24,3.384648561
LCN002,1556.49,3.406930685
LCN002,1554.97,3.42882514
LCN002,1566.53,3.450734615
LCN002,1561.04,3.472842932
LCN002,1562.17,3.494956493
LCN002,1569.56,3.516966581
LCN002,1566.72,3.539493561
LCN002,1571.65,3.562002897
LCN002,1588.13,3.584901094
LCN002,1585.86,3.607641697
LCN002,1585.86,3.629992008
LCN002,1594.57,3.652538776
LCN002,1589.08,3.674977541
LCN002,1597.23,3.697598457
LCN002,1602.53,3.720364571
LCN002,1590.97,3.742585659
LCN002,1603.67,3.765157223
LCN002,1609.92,3.788954496
LCN002,1609.35,3.811724186
LCN002,1617.5,3.834582806
LCN002,1607.08,3.856692553
LCN002,1610.87,3.878863573
LCN002,1614.09,3.90107131
LCN002,1609.73,3.923497915
LCN002,1613.33,3.945826292
LCN002,1622.43,3.967938662
LCN002,1619.77,3.990455151
LCN002,1619.01,4.012879372
LCN002,1629.62,4.035267353
LCN002,1620.53,4.057705402
LCN002,1627.16,4.080059052
LCN002,1634.55,4.102561951
LCN002,1623.75,4.12514925
LCN002,1636.26,4.147652149
LCN002,1635.31,4.16984725
LCN002,1627.73,4.192035675
LCN002,1634.17,4.214053631
LCN002,1637.2,4.236331224
LCN002,1625.08,4.258422136
LCN002,1640.61,4.280817986
LCN002,1646.49,4.303735018
LCN002,1637.58,4.325964212
LCN002,1649.9,4.348356009
LCN002,1647.25,4.370289564
LCN002,1631.52,4.391625404
LCN002,1634.55,4.413258553
LCN002,1644.02,4.435362101
LCN002,1635.5,4.457613468
LCN002,1646.3,4.480019093
LCN002,1653.12,4.502439499
LCN002,1643.27,4.525049448
LCN002,1656.72,4.548170328
LCN002,1656.15,4.570363522
LCN002,1650.66,4.593033552
LCN002,1666.19,4.616247654
LCN002,1659.94,4.639015675
LCN002,1655.2,4.660996675
LCN002,1669.98,4.683638334
LCN002,1666.19,4.706705093
LCN002,1667.14,4.729076385
LCN002,1679.27,4.75138855
LCN002,1666.19,4.773884773
LCN002,1672.82,4.79668808
LCN002,1682.49,4.819492102
LCN002,1673.77,4.842131853
LCN002,1680.21,4.864830732
LCN002,1681.35,4.887310028
LCN002,1672.82,4.910432339
LCN002,1688.17,4.932953119
LCN002,1682.87,4.955281496
LCN002,1681.35,4.977778673
LCN002,1693.1,5.000409365
LCN002,1681.92,5.022710562
LCN002,1681.54,5.044756889
LCN002,1690.44,5.066631317
