Port,Value,Time Stamp
PTN006,2817.0,1.077533007
PTN006,1604.65,1.102461815
PTN006,1147.65,1.124022722
PTN006,924.96,1.145615339
PTN006,823.79,1.167162895
PTN006,762.15,1.188435793
PTN006,722.49,1.210363865
PTN006,715.54,1.232597589
PTN006,717.94,1.254484653
PTN006,709.22,1.276096344
PTN006,714.91,1.297935247
PTN006,723.88,1.319742441
PTN006,727.54,1.341676474
PTN006,734.74,1.36322546
PTN006,748.0,1.384902
PTN006,753.43,1.406997919
PTN006,762.53,1.429071903
PTN006,777.18,1.45077467
PTN006,782.23,1.472521782
PTN006,786.4,1.494190216
PTN006,800.17,1.515902519
PTN006,811.92,1.537478685
PTN006,813.94,1.559455395
PTN006,826.57,1.580723524
PTN006,837.94,1.603123665
PTN006,840.59,1.624672174
PTN006,850.19,1.647679567
PTN006,876.33,1.67045927
PTN006,881.13,1.69329834
PTN006,891.11,1.716212749
PTN006,902.61,1.738898277
PTN006,907.03,1.761845112
PTN006,925.47,1.785004616
PTN006,934.19,1.807840347
PTN006,926.61,1.829202414
PTN006,935.83,1.850672722
PTN006,939.87,1.872866154
PTN006,943.28,1.896148443
PTN006,960.46,1.918934107
PTN006,962.86,1.940880537
PTN006,965.13,1.963824272
PTN006,984.71,1.986831188
PTN006,986.98,2.009489059
PTN006,992.29,2.032721758
PTN006,1004.54,2.055298567
PTN006,1009.22,2.079392433
PTN006,1022.86,2.102885723
PTN006,1026.9,2.12547493
PTN006,1024.75,2.147734404
PTN006,1034.22,2.17086792
PTN006,1037.26,2.193142176
PTN006,1042.44,2.216400623
PTN006,1052.03,2.238928556
PTN006,1045.72,2.261365891
PTN006,1057.34,2.284651995
PTN006,1064.54,2.307949305
PTN006,1067.19,2.330714226
PTN006,1076.54,2.353239298
PTN006,1075.66,2.376358986
PTN006,1082.48,2.399353027
PTN006,1094.98,2.423591852
PTN006,1092.71,2.446013927
PTN006,1098.39,2.468197823
PTN006,1098.64,2.491573095
PTN006,1101.3,2.514581442
PTN006,1106.73,2.537212372
PTN006,1105.97,2.560209036
PTN006,1114.18,2.582564354
PTN006,1117.59,2.604819059
PTN006,1109.0,2.62752676
PTN006,1118.85,2.649485826
PTN006,1122.64,2.671744823
PTN006,1117.46,2.694056034
PTN006,1122.52,2.716232538
PTN006,1128.2,2.739207745
PTN006,1123.91,2.762001991
PTN006,1137.17,2.784870148
PTN006,1134.64,2.807348728
PTN006,1130.85,2.829231977
PTN006,1135.91,2.850512505
PTN006,1134.52,2.872150183
PTN006,1130.73,2.894343615
PTN006,1137.55,2.916315794
PTN006,1141.72,2.938769817
PTN006,1134.52,2.960784912
PTN006,1144.37,2.983213663
PTN006,1150.81,3.006028652
PTN006,1144.75,3.028515816
PTN006,1154.6,3.050851583
PTN006,1157.25,3.073266029
PTN006,1152.71,3.096016645
PTN006,1164.83,3.118997097
PTN006,1158.64,3.141062737
PTN006,1158.52,3.163401604
PTN006,1169.13,3.185256958
PTN006,1161.04,3.207152843
PTN006,1161.3,3.229776382
PTN006,1172.79,3.251714706
PTN006,1171.4,3.273896217
PTN006,1165.84,3.295846462
PTN006,1173.67,3.317818165
PTN006,1172.54,3.34010005
PTN006,1169.38,3.362287283
PTN006,1180.75,3.384648561
PTN006,1179.74,3.406930685
PTN006,1171.4,3.42882514
PTN006,1179.36,3.450734615
PTN006,1183.15,3.472842932
PTN006,1175.32,3.494956493
PTN006,1184.16,3.516966581
PTN006,1187.57,3.539493561
PTN006,1182.01,3.562002897
PTN006,1195.53,3.584901094
PTN006,1196.28,3.607641697
PTN006,1190.09,3.629992008
PTN006,1201.97,3.652538776
PTN006,1197.93,3.674977541
PTN006,1196.79,3.697598457
PTN006,1210.81,3.720364571
PTN006,1197.55,3.742585659
PTN006,1200.83,3.765157223
PTN006,1218.51,3.788954496
PTN006,1205.38,3.811724186
PTN006,1211.19,3.834582806
PTN006,1214.6,3.856692553
PTN006,1205.5,3.878863573
PTN006,1213.84,3.90107131
PTN006,1215.1,3.923497915
PTN006,1209.42,3.945826292
PTN006,1218.51,3.967938662
PTN006,1219.02,3.990455151
PTN006,1214.09,4.012879372
PTN006,1221.04,4.035267353
PTN006,1220.03,4.057705402
PTN006,1218.51,4.080059052
PTN006,1228.62,4.102561951
PTN006,1222.81,4.12514925
PTN006,1222.18,4.147652149
PTN006,1229.63,4.16984725
PTN006,1223.82,4.192035675
PTN006,1220.91,4.214053631
PTN006,1230.14,4.236331224
PTN006,1224.7,4.258422136
PTN006,1225.71,4.280817986
PTN006,1236.83,4.303735018
PTN006,1231.52,4.325964212
PTN006,1229.25,4.348356009
PTN006,1238.72,4.370289564
PTN006,1225.21,4.391625404
PTN006,1221.17,4.413258553
PTN006,1233.8,4.435362101
PTN006,1230.89,4.457613468
PTN006,1228.24,4.480019093
PTN006,1240.49,4.502439499
PTN006,1234.56,4.525049448
PTN006,1234.94,4.548170328
PTN006,1243.9,4.570363522
PTN006,1236.45,4.593033552
PTN006,1240.24,4.616247654
PTN006,1251.1,4.639015675
PTN006,1238.85,4.660996675
PTN006,1244.91,4.683638334
PTN006,1250.09,4.706705093
PTN006,1244.16,4.729076385
PTN006,1251.23,4.75138855
PTN006,1251.1,4.773884773
PTN006,1244.41,4.79668808
PTN006,1258.3,4.819492102
PTN006,1252.37,4.842131853
PTN006,1248.58,4.864830732
PTN006,1257.29,4.887310028
PTN006,1251.86,4.910432339
PTN006,1256.03,4.932953119
PTN006,1261.08,4.955281496
PTN006,1254.89,4.977778673
PTN006,1260.45,5.000409365
PTN006,1261.08,5.022710562
PTN006,1252.75,5.044756889
PTN006,1257.55,5.066631317
PTN006,1260.45,5.088759184
PTN006,1253.63,5.111467838
PTN006,1260.58,5.134599924
PTN006,1262.47,5.156864643
PTN006,1255.78,5.179095507
PTN006,1265.25,5.201719522
PTN006,1262.72,5.22383976
PTN006,1256.03,5.246084452
PTN006,1265.38,5.268105745
PTN006,1262.35,5.290279865
PTN006,1258.3,5.312813282
PTN006,1266.26,5.335000753
PTN006,1268.53,5.357783318
PTN006,1264.87,5.380483389
PTN006,1272.2,5.402364492
PTN006,1260.32,5.423997641
PTN006,1259.31,5.446562529
PTN006,1269.17,5.468400717
PTN006,1264.49,5.490943909
PTN006,1265.38,5.514102936
PTN006,1273.33,5.537350893
PTN006,1276.11,5.560501814
PTN006,1277.25,5.58300972
PTN006,1277.38,5.605383635
PTN006,1266.13,5.627891064
PTN006,1277.0,5.650437355
PTN006,1277.25,5.673053503
PTN006,1271.69,5.695931196
PTN006,1281.67,5.718509674
PTN006,1274.6,5.740675688
PTN006,1267.27,5.762424469
PTN006,1273.21,5.783632994
PTN006,1265.76,5.804691553
PTN006,1253.0,5.826195002
PTN006,1259.19,5.847815514
PTN006,1268.66,5.870259523
PTN006,1266.26,5.89260149
PTN006,1265.5,5.9147017
PTN006,1273.21,5.93705678
PTN006,1267.52,5.959498405
PTN006,1271.19,5.981599808
PTN006,1273.97,6.003684282
PTN006,1263.61,6.025196791
PTN006,1259.31,6.046527147
PTN006,1268.41,6.068335772
PTN006,1266.89,6.090675592
PTN006,1265.12,6.113156796
PTN006,1274.34,6.135539532
PTN006,1271.57,6.157996416
PTN006,1271.44,6.180187464
PTN006,1275.36,6.202233076
PTN006,1268.66,6.224483013
PTN006,1267.15,6.246689558
PTN006,1277.76,6.269022703
PTN006,1272.58,6.291381598
PTN006,1266.77,6.313054085
PTN006,1271.57,6.334953785
PTN006,1269.67,6.357044458
PTN006,1267.02,6.379913568
PTN006,1278.77,6.401687384
PTN006,1268.41,6.423795462
PTN006,1267.15,6.446178913
PTN006,1277.0,6.468614101
PTN006,1274.72,6.49110961
PTN006,1272.32,6.513346195
PTN006,1276.24,6.534990311
PTN006,1270.3,6.556871653
PTN006,1268.28,6.579229832
PTN006,1276.62,6.601039171
PTN006,1272.58,6.623467922
PTN006,1272.2,6.646559238
PTN006,1278.77,6.669018745
PTN006,1274.85,6.692075253
PTN006,1274.98,6.715353489
PTN006,1282.3,6.738318205
PTN006,1281.17,6.760679007
PTN006,1284.7,6.783115149
PTN006,1287.99,6.805405617
PTN006,1277.76,6.827749968
PTN006,1284.32,6.849729538
PTN006,1286.34,6.871464252
PTN006,1270.3,6.893164396
PTN006,1277.38,6.91654563
PTN006,1285.97,6.939336538
PTN006,1276.87,6.961421728
PTN006,1286.09,6.984193802
PTN006,1287.61,7.007402182
PTN006,1279.65,7.029462099
PTN006,1287.48,7.051496267
PTN006,1286.72,7.074716568
PTN006,1281.29,7.097333908
PTN006,1291.14,7.120044231
PTN006,1284.83,7.14225173
PTN006,1281.8,7.164322376
PTN006,1293.92,7.187627792
PTN006,1289.5,7.210980177
PTN006,1294.05,7.233533859
PTN006,1295.19,7.256742477
PTN006,1295.44,7.280246735
PTN006,1303.9,7.302865744
PTN006,1293.04,7.325227499
PTN006,1291.52,7.347418547
PTN006,1299.23,7.369701385
PTN006,1290.39,7.392265558
PTN006,1295.31,7.416213751
PTN006,1304.28,7.439677715
PTN006,1301.5,7.46369195
PTN006,1309.71,7.487086773
PTN006,1305.54,7.510478497
PTN006,1304.28,7.533911467
PTN006,1307.82,7.556556463
PTN006,1303.52,7.579389811
PTN006,1312.11,7.602372169
PTN006,1308.2,7.625203609
PTN006,1305.04,7.647586584
PTN006,1310.09,7.669894218
PTN006,1302.64,7.692882061
PTN006,1302.51,7.715863943
