Port,Value,Time Stamp
PTN005,2817.38,1.077533007
PTN005,1610.59,1.102461815
PTN005,1152.2,1.124022722
PTN005,927.74,1.145615339
PTN005,825.81,1.167162895
PTN005,764.04,1.188435793
PTN005,724.25,1.210363865
PTN005,716.93,1.232597589
PTN005,718.95,1.254484653
PTN005,710.36,1.276096344
PTN005,716.17,1.297935247
PTN005,725.01,1.319742441
PTN005,728.55,1.341676474
PTN005,735.75,1.36322546
PTN005,748.89,1.384902
PTN005,754.44,1.406997919
PTN005,763.41,1.429071903
PTN005,778.32,1.45077467
PTN005,783.37,1.472521782
PTN005,787.28,1.494190216
PTN005,801.05,1.515902519
PTN005,812.8,1.537478685
PTN005,814.95,1.559455395
PTN005,827.58,1.580723524
PTN005,838.69,1.603123665
PTN005,841.35,1.624672174
PTN005,851.07,1.647679567
PTN005,876.97,1.67045927
PTN005,881.89,1.69329834
PTN005,891.87,1.716212749
PTN005,903.37,1.738898277
PTN005,907.66,1.761845112
PTN005,925.6,1.785004616
PTN005,934.82,1.807840347
PTN005,927.11,1.829202414
PTN005,936.59,1.850672722
PTN005,940.63,1.872866154
PTN005,943.79,1.896148443
PTN005,961.09,1.918934107
PTN005,963.24,1.940880537
PTN005,965.64,1.963824272
PTN005,985.09,1.986831188
PTN005,987.62,2.009489059
PTN005,992.67,2.032721758
PTN005,1004.67,2.055298567
PTN005,1009.59,2.079392433
PTN005,1022.98,2.102885723
PTN005,1027.15,2.12547493
PTN005,1025.13,2.147734404
PTN005,1034.35,2.17086792
PTN005,1037.64,2.193142176
PTN005,1043.19,2.216400623
PTN005,1052.41,2.238928556
PTN005,1045.97,2.261365891
PTN005,1057.59,2.284651995
PTN005,1064.92,2.307949305
PTN005,1067.32,2.330714226
PTN005,1076.54,2.353239298
PTN005,1076.16,2.376358986
PTN005,1082.6,2.399353027
PTN005,1094.85,2.423591852
PTN005,1092.96,2.446013927
PTN005,1098.52,2.468197823
PTN005,1098.9,2.491573095
PTN005,1101.55,2.514581442
PTN005,1106.85,2.537212372
PTN005,1106.48,2.560209036
PTN005,1114.31,2.582564354
PTN005,1117.84,2.604819059
PTN005,1109.13,2.62752676
PTN005,1118.85,2.649485826
PTN005,1122.9,2.671744823
PTN005,1117.84,2.694056034
PTN005,1122.77,2.716232538
PTN005,1128.58,2.739207745
PTN005,1124.29,2.762001991
PTN005,1137.42,2.784870148
PTN005,1134.77,2.807348728
PTN005,1130.85,2.829231977
PTN005,1135.78,2.850512505
PTN005,1134.52,2.872150183
PTN005,1130.98,2.894343615
PTN005,1137.55,2.916315794
PTN005,1141.97,2.938769817
PTN005,1134.64,2.960784912
PTN005,1144.37,2.983213663
PTN005,1150.94,3.006028652
PTN005,1144.87,3.028515816
PTN005,1154.6,3.050851583
PTN005,1157.25,3.073266029
PTN005,1152.71,3.096016645
PTN005,1164.96,3.118997097
PTN005,1158.52,3.141062737
PTN005,1158.52,3.163401604
PTN005,1169.13,3.185256958
PTN005,1161.17,3.207152843
PTN005,1161.04,3.229776382
PTN005,1172.79,3.251714706
PTN005,1171.53,3.273896217
PTN005,1165.97,3.295846462
PTN005,1173.55,3.317818165
PTN005,1172.66,3.34010005
PTN005,1169.25,3.362287283
PTN005,1180.49,3.384648561
PTN005,1179.74,3.406930685
PTN005,1171.4,3.42882514
PTN005,1179.48,3.450734615
PTN005,1183.15,3.472842932
PTN005,1175.19,3.494956493
PTN005,1184.28,3.516966581
PTN005,1187.69,3.539493561
PTN005,1182.14,3.562002897
PTN005,1195.65,3.584901094
PTN005,1196.28,3.607641697
PTN005,1190.09,3.629992008
PTN005,1201.84,3.652538776
PTN005,1197.93,3.674977541
PTN005,1196.92,3.697598457
PTN005,1210.56,3.720364571
PTN005,1197.29,3.742585659
PTN005,1200.7,3.765157223
PTN005,1218.26,3.788954496
PTN005,1205.38,3.811724186
PTN005,1211.19,3.834582806
PTN005,1214.09,3.856692553
