PTN012,791.71,1.188435793
LCN001,1045.68,1.188435793
LCN002,1094.94,1.188435793
LCN003,1115.79,1.188435793
SGN001,55.6,1.188435793
SGN002,55.6,1.188435793
SGN003,55.6,1.188435793
SGN004,55.6,1.188435793
SGNExternal,1122.99,1.188435793
TCN001,1.78,1.188435793
TCN002,1.79,1.188435793
TCN003,1.81,1.188435793
TCN004,1.8,1.188435793
TCN005,1.75,1.188435793
TCN006,1.68,1.188435793
TCN007,1.69,1.188435793
TCN008,1.69,1.188435793
TCN009,2.1,1.188435793
TCN010,2.34,1.188435793
TCN011,2.43,1.188435793
TCN012,2.52,1.188435793
TCN013,2.57,1.188435793
TCN014,2.74,1.188435793
PTN001,1126.4,1.210363865
PTN002,2814.6,1.210363865
PTN003,758.35,1.210363865
PTN004,757.1,1.210363865
PTN005,724.25,1.210363865
PTN006,722.49,1.210363865
PTN007,683.71,1.210363865
PTN008,694.95,1.210363865
PTN009,692.42,1.210363865
PTN010,702.91,1.210363865
PTN011,703.03,1.210363865
PTN012,713.77,1.210363865
LCN001,984.67,1.210363865
LCN002,1004.19,1.210363865
LCN003,1022.57,1.210363865
SGN001,55.6,1.210363865
SGN002,55.6,1.210363865
SGN003,55.6,1.210363865
SGN004,55.6,1.210363865
SGNExternal,1080.36,1.210363865
TCN001,1.84,1.210363865
TCN002,1.87,1.210363865
TCN003,1.88,1.210363865
TCN004,1.88,1.210363865
TCN005,1.84,1.210363865
TCN006,1.8,1.210363865
TCN007,1.79,1.210363865
TCN008,1.79,1.210363865
TCN009,2.17,1.210363865
TCN010,2.39,1.210363865
TCN011,2.5,1.210363865
TCN012,2.59,1.210363865
TCN013,2.64,1.210363865
TCN014,2.79,1.210363865
PTN001,1103.09,1.232597589
PTN002,2751.12,1.232597589
PTN003,740.29,1.232597589
PTN004,737.64,1.232597589
PTN005,716.93,1.232597589
PTN006,715.54,1.232597589
PTN007,652.26,1.232597589
PTN008,663.12,1.232597589
PTN009,659.46,1.232597589
PTN010,669.18,1.232597589
PTN011,668.3,1.232597589
PTN012,678.15,1.232597589
LCN001,990.93,1.232597589
LCN002,971.03,1.232597589
LCN003,988.08,1.232597589
SGN001,55.6,1.232597589
SGN002,55.6,1.232597589
SGN003,55.6,1.232597589
SGN004,55.6,1.232597589
SGNExternal,1081.87,1.232597589
TCN001,1.86,1.232597589
TCN002,1.89,1.232597589
TCN003,1.9,1.232597589
TCN004,1.91,1.232597589
TCN005,1.91,1.232597589
TCN006,1.91,1.232597589
TCN007,1.92,1.232597589
TCN008,1.95,1.232597589
TCN009,2.28,1.232597589
TCN010,2.49,1.232597589
TCN011,2.6,1.232597589
TCN012,2.67,1.232597589
TCN013,2.71,1.232597589
TCN014,2.83,1.232597589
PTN001,1090.78,1.254484653
PTN002,2718.44,1.254484653
PTN003,730.81,1.254484653
PTN004,727.92,1.254484653
PTN005,718.95,1.254484653
PTN006,717.94,1.254484653
PTN007,639.62,1.254484653
PTN008,649.98,1.254484653
PTN009,646.57,1.254484653
