Port,Value,Time Stamp
PTN003,1292.27,5.58300972
PTN003,1287.22,5.605383635
PTN003,1283.3,5.627891064
PTN003,1290.76,5.650437355
PTN003,1285.83,5.673053503
PTN003,1288.73,5.695931196
PTN003,1294.42,5.718509674
PTN003,1285.45,5.740675688
PTN003,1283.3,5.762424469
PTN003,1282.42,5.783632994
PTN003,1273.83,5.804691553
PTN003,1266.5,5.826195002
PTN003,1271.3,5.847815514
PTN003,1272.06,5.870259523
PTN003,1277.11,5.89260149
PTN003,1280.02,5.9147017
PTN003,1280.27,5.93705678
PTN003,1279.13,5.959498405
PTN003,1284.06,5.981599808
PTN003,1281.41,6.003684282
PTN003,1275.6,6.025196791
PTN003,1273.32,6.046527147
PTN003,1274.59,6.068335772
PTN003,1275.22,6.090675592
PTN003,1281.28,6.113156796
PTN003,1283.56,6.135539532
PTN003,1281.16,6.157996416
PTN003,1286.33,6.180187464
PTN003,1284.82,6.202233076
PTN003,1279.01,6.224483013
PTN003,1282.17,6.246689558
PTN003,1285.58,6.269022703
PTN003,1283.68,6.291381598
PTN003,1282.8,6.313054085
PTN003,1280.02,6.334953785
PTN003,1277.24,6.357044458
PTN003,1282.04,6.379913568
PTN003,1285.07,6.401687384
PTN003,1278.0,6.423795462
PTN003,1282.29,6.446178913
PTN003,1286.59,6.468614101
PTN003,1284.82,6.49110961
PTN003,1289.24,6.513346195
PTN003,1285.2,6.534990311
PTN003,1279.01,6.556871653
PTN003,1282.92,6.579229832
PTN003,1286.59,6.601039171
PTN003,1281.53,6.623467922
PTN003,1287.85,6.646559238
PTN003,1289.37,6.669018745
PTN003,1285.96,6.692075253
PTN003,1290.88,6.715353489
PTN003,1289.87,6.738318205
PTN003,1295.55,6.760679007
PTN003,1298.08,6.783115149
PTN003,1297.32,6.805405617
PTN003,1294.67,6.827749968
PTN003,1297.45,6.849729538
PTN003,1294.8,6.871464252
PTN003,1285.83,6.893164396
PTN003,1290.63,6.91654563
PTN003,1294.17,6.939336538
PTN003,1291.77,6.961421728
PTN003,1298.97,6.984193802
PTN003,1297.95,7.007402182
PTN003,1297.83,7.029462099
PTN003,1296.82,7.051496267
PTN003,1296.69,7.074716568
PTN003,1298.59,7.097333908
PTN003,1301.49,7.120044231
PTN003,1297.45,7.14225173
PTN003,1297.32,7.164322376
PTN003,1303.64,7.187627792
PTN003,1305.41,7.210980177
PTN003,1309.58,7.233533859
PTN003,1306.17,7.256742477
PTN003,1314.12,7.280246735
PTN003,1319.18,7.302865744
PTN003,1307.93,7.325227499
PTN003,1308.57,7.347418547
PTN003,1309.58,7.369701385
PTN003,1304.65,7.392265558
PTN003,1315.76,7.416213751
PTN003,1315.64,7.439677715
PTN003,1320.31,7.46369195
PTN003,1324.99,7.487086773
PTN003,1322.71,7.510478497
PTN003,1323.85,7.533911467
PTN003,1321.07,7.556556463
PTN003,1323.22,7.579389811
PTN003,1327.76,7.602372169
PTN003,1324.48,7.625203609
PTN003,1325.49,7.647586584
PTN003,1322.33,7.669894218
PTN003,1319.18,7.692882061
PTN003,1322.08,7.715863943
PTN003,1326.25,7.738783121
PTN003,1320.19,7.76078558
PTN003,1323.98,7.783216715
PTN003,1318.42,7.805424929
PTN003,1314.12,7.827360392
PTN003,1318.04,7.849758625
PTN003,1316.4,7.872781992
PTN003,1314.75,7.895881891
PTN003,1322.08,7.919043064
PTN003,1320.06,7.941768169
PTN003,1323.09,7.964084625
PTN003,1325.36,7.987246037
PTN003,1318.54,8.009201527
PTN003,1315.76,8.0316329
PTN003,1320.44,8.053775549
PTN003,1318.04,8.075866938
PTN003,1317.28,8.097707987
PTN003,1312.86,8.119477987
PTN003,1308.44,8.141449451
PTN003,1311.6,8.163377523
PTN003,1314.75,8.185523987
PTN003,1307.05,8.207817793
PTN003,1317.03,8.230478525
PTN003,1315.39,8.252653599
PTN003,1313.24,8.275205374
PTN003,1317.03,8.297469378
PTN003,1316.78,8.319584131
PTN003,1308.06,8.341457367
PTN003,1307.18,8.363074064
PTN003,1307.05,8.384657621
PTN003,1304.65,8.407022953
PTN003,1308.19,8.429732561
PTN003,1314.12,8.451900959
PTN003,1309.07,8.474489927
PTN003,1312.1,8.497056007
PTN003,1314.12,8.519723415
PTN003,1313.11,8.543093443
PTN003,1320.44,8.565633297
PTN003,1316.27,8.587856293
PTN003,1314.5,8.6103549
PTN003,1316.27,8.632301807
PTN003,1312.86,8.654301167
PTN003,1306.42,8.676090002
PTN003,1312.48,8.698286533
PTN003,1311.98,8.72048068
PTN003,1308.94,8.742976427
PTN003,1311.09,8.76496315
PTN003,1311.22,8.788059473
PTN003,1315.64,8.810926676
PTN003,1317.79,8.83318305
PTN003,1313.49,8.855962992
PTN003,1319.3,8.878642321
PTN003,1323.09,8.9011693
PTN003,1318.54,8.923804045
PTN003,1322.21,8.946444035
PTN003,1319.93,8.968546391
PTN003,1315.51,8.990646839
PTN003,1314.0,9.012541771
PTN003,1312.35,9.034241676
PTN003,1309.95,9.056565523
PTN003,1314.12,9.078905344
PTN003,1316.27,9.100731134
PTN003,1309.07,9.122827291
PTN003,1312.73,9.145294905
PTN003,1313.36,9.167175531
PTN003,1309.45,9.189202785
PTN003,1306.67,9.210887909
PTN003,1306.29,9.232557058
PTN003,1305.91,9.254567623
PTN003,1305.03,9.276399374
PTN003,1309.95,9.298707962
PTN003,1306.54,9.320800781
PTN003,1314.12,9.344122648
PTN003,1313.49,9.366172075
PTN003,1310.46,9.388818264
PTN003,1314.0,9.411949635
PTN003,1320.19,9.434774637
PTN003,1314.63,9.457355976
PTN003,1317.91,9.480221748
PTN003,1322.33,9.503278732
PTN003,1312.35,9.525250912
PTN003,1316.65,9.547640085
PTN003,1314.25,9.56952858
PTN003,1311.6,9.591666698
PTN003,1311.34,9.613128901
PTN003,1307.55,9.634482384
PTN003,1300.73,9.655757427
PTN003,1299.22,9.677071333
PTN003,1300.86,9.698547125
PTN003,1302.5,9.720749855
PTN003,1300.35,9.742827415
PTN003,1304.02,9.764764309
PTN003,1304.9,9.786699772
PTN003,1302.63,9.809084892
PTN003,1304.52,9.832243681
PTN003,1310.21,9.8546381
PTN003,1311.34,9.877333164
PTN003,1313.87,9.900041103
PTN003,1312.61,9.923300982
PTN003,1318.54,9.94638586
PTN003,1316.14,9.968799591
PTN003,1311.85,9.991796255
PTN003,1316.14,10.01560998
PTN003,1322.08,10.03909183
PTN003,1319.93,10.0612905
PTN003,1318.54,10.0842073
PTN003,1321.45,10.10792208
PTN003,1329.66,10.13111854
PTN003,1329.53,10.1532557
PTN003,1326.75,10.17628169
PTN003,1330.8,10.19949579
PTN003,1333.32,10.22268605
PTN003,1336.35,10.24620748
PTN003,1332.82,10.26854205
PTN003,1329.66,10.29165816
PTN003,1331.81,10.31451654
PTN003,1331.93,10.33688021
PTN003,1326.88,10.35977483
PTN003,1338.0,10.38248277
PTN003,1329.03,10.404392
PTN003,1323.09,10.42652893
PTN003,1327.51,10.44866848
PTN003,1323.72,10.47066545
PTN003,1324.35,10.49297976
PTN003,1328.78,10.51558805
PTN003,1325.62,10.53797436
PTN003,1323.98,10.56066847
PTN003,1331.3,10.58328199
PTN003,1328.02,10.60616732
PTN003,1329.53,10.6291852
PTN003,1333.83,10.65178061
PTN003,1326.88,10.67418647
PTN003,1330.16,10.69724536
PTN003,1332.31,10.71997166
PTN003,1329.28,10.74247885
PTN003,1328.9,10.76439214
PTN003,1328.78,10.78711987
PTN003,1329.41,10.80963326
PTN003,1329.79,10.83167505
PTN003,1328.65,10.85419869
PTN003,1325.74,10.87663865
PTN003,1330.67,10.89915442
PTN003,1328.65,10.92124915
PTN003,1324.1,10.94342422
PTN003,1325.49,10.96549606
PTN003,1324.99,10.98755622
PTN003,1319.93,11.00957966
PTN003,1322.46,11.03244805
PTN003,1322.46,11.05466938
PTN003,1320.31,11.07706666
PTN003,1324.61,11.10025287
PTN003,1323.6,11.12295747
PTN003,1322.84,11.14495397
PTN003,1323.47,11.16714382
PTN003,1319.93,11.18953156
PTN003,1322.33,11.21313667
PTN003,1328.27,11.23578906
PTN003,1323.85,11.25798607
PTN003,1323.98,11.28004336
