Port,Value,Time Stamp
LCN001,3300.93,1.077533007
LCN001,2216.79,1.102461815
LCN001,1639.48,1.124022722
LCN001,1335.0,1.145615339
LCN001,1173.95,1.167162895
LCN001,1045.68,1.188435793
LCN001,984.67,1.210363865
LCN001,990.93,1.232597589
LCN001,961.37,1.254484653
LCN001,939.39,1.276096344
LCN001,968.38,1.297935247
LCN001,962.13,1.319742441
LCN001,940.91,1.341676474
LCN001,973.68,1.36322546
LCN001,986.38,1.384902
LCN001,959.85,1.406997919
LCN001,988.08,1.429071903
LCN001,1012.9,1.45077467
LCN001,989.6,1.472521782
LCN001,1001.92,1.494190216
LCN001,1036.78,1.515902519
LCN001,1025.79,1.537478685
LCN001,1019.91,1.559455395
LCN001,1060.84,1.580723524
LCN001,1064.82,1.603123665
LCN001,1045.3,1.624672174
LCN001,1081.49,1.647679567
LCN001,1099.11,1.67045927
LCN001,1093.81,1.69329834
LCN001,1135.3,1.716212749
LCN001,1122.04,1.738898277
LCN001,1136.25,1.761845112
LCN001,1171.3,1.785004616
LCN001,1155.01,1.807840347
LCN001,1173.38,1.829202414
LCN001,1192.52,1.850672722
LCN001,1171.87,1.872866154
LCN001,1187.03,1.896148443
LCN001,1217.34,1.918934107
LCN001,1196.12,1.940880537
LCN001,1223.03,1.963824272
LCN001,1241.78,1.986831188
LCN001,1230.6,2.009489059
LCN001,1266.79,2.032721758
LCN001,1258.83,2.055298567
LCN001,1271.34,2.079392433
LCN001,1300.9,2.102885723
LCN001,1282.71,2.12547493
LCN001,1310.75,2.147734404
LCN001,1313.21,2.17086792
LCN001,1303.55,2.193142176
LCN001,1337.65,2.216400623
LCN001,1323.63,2.238928556
LCN001,1327.8,2.261365891
LCN001,1358.87,2.284651995
LCN001,1338.98,2.307949305
LCN001,1368.73,2.330714226
LCN001,1374.41,2.353239298
LCN001,1359.25,2.376358986
LCN001,1395.82,2.399353027
LCN001,1383.69,2.423591852
LCN001,1399.61,2.446013927
LCN001,1416.85,2.468197823
LCN001,1392.03,2.491573095
LCN001,1421.78,2.514581442
LCN001,1420.45,2.537212372
LCN001,1406.24,2.560209036
LCN001,1444.51,2.582564354
LCN001,1428.79,2.604819059
LCN001,1420.64,2.62752676
LCN001,1454.37,2.649485826
LCN001,1436.37,2.671744823
LCN001,1435.61,2.694056034
LCN001,1462.89,2.716232538
LCN001,1444.32,2.739207745
LCN001,1448.87,2.762001991
LCN001,1478.81,2.784870148
LCN001,1449.82,2.807348728
LCN001,1467.25,2.829231977
LCN001,1483.92,2.850512505
LCN001,1458.35,2.872150183
LCN001,1461.76,2.894343615
LCN001,1488.85,2.916315794
LCN001,1469.9,2.938769817
LCN001,1467.25,2.960784912
