Port,Value,Time Stamp
PTN001,4201.09,1.077533007
PTN001,2834.84,1.102461815
PTN001,2008.37,1.124022722
PTN001,1554.97,1.145615339
PTN001,1327.42,1.167162895
PTN001,1198.02,1.188435793
PTN001,1126.4,1.210363865
PTN001,1103.09,1.232597589
PTN001,1090.78,1.254484653
PTN001,1077.51,1.276096344
PTN001,1084.52,1.297935247
PTN001,1089.83,1.319742441
PTN001,1096.46,1.341676474
PTN001,1108.4,1.36322546
PTN001,1122.8,1.384902
PTN001,1130.75,1.406997919
PTN001,1150.27,1.429071903
PTN001,1166.94,1.45077467
PTN001,1173.76,1.472521782
PTN001,1183.81,1.494190216
PTN001,1202.75,1.515902519
PTN001,1217.15,1.537478685
PTN001,1226.06,1.559455395
PTN001,1245.57,1.580723524
PTN001,1256.94,1.603123665
PTN001,1263.57,1.624672174
PTN001,1282.9,1.647679567
PTN001,1317.57,1.67045927
PTN001,1329.13,1.69329834
PTN001,1346.37,1.716212749
PTN001,1358.87,1.738898277
PTN001,1371.95,1.761845112
PTN001,1397.34,1.785004616
PTN001,1410.03,1.807840347
PTN001,1403.4,1.829202414
PTN001,1410.03,1.850672722
PTN001,1414.58,1.872866154
PTN001,1428.22,1.896148443
PTN001,1451.71,1.918934107
PTN001,1450.77,1.940880537
PTN001,1462.13,1.963824272
PTN001,1484.87,1.986831188
PTN001,1491.69,2.009489059
PTN001,1505.14,2.032721758
PTN001,1511.96,2.055298567
PTN001,1530.15,2.079392433
PTN001,1547.96,2.102885723
PTN001,1553.08,2.12547493
PTN001,1554.03,2.147734404
PTN001,1557.63,2.17086792
PTN001,1570.13,2.193142176
PTN001,1583.39,2.216400623
PTN001,1587.37,2.238928556
PTN001,1585.86,2.261365891
PTN001,1600.83,2.284651995
PTN001,1607.46,2.307949305
PTN001,1621.67,2.330714226
PTN001,1624.7,2.353239298
PTN001,1626.59,2.376358986
PTN001,1645.73,2.399353027
PTN001,1656.53,2.423591852
PTN001,1660.13,2.446013927
PTN001,1660.7,2.468197823
PTN001,1660.7,2.491573095
PTN001,1675.1,2.514581442
PTN001,1672.44,2.537212372
PTN001,1675.48,2.560209036
PTN001,1692.34,2.582564354
PTN001,1688.74,2.604819059
