Port,Value,Time Stamp
PTN002,10409.45,1.077533007
PTN002,7145.85,1.102461815
PTN002,5076.85,1.124022722
PTN002,3922.99,1.145615339
PTN002,3335.16,1.167162895
PTN002,3000.75,1.188435793
PTN002,2814.6,1.210363865
PTN002,2751.12,1.232597589
PTN002,2718.44,1.254484653
PTN002,2683.86,1.276096344
PTN002,2700.91,1.297935247
PTN002,2713.7,1.319742441
PTN002,2729.33,1.341676474
PTN002,2759.18,1.36322546
PTN002,2796.12,1.384902
PTN002,2815.07,1.406997919
PTN002,2862.91,1.429071903
PTN002,2903.65,1.45077467
PTN002,2922.59,1.472521782
PTN002,2948.17,1.494190216
PTN002,2994.12,1.515902519
PTN002,3029.64,1.537478685
PTN002,3052.85,1.559455395
PTN002,3101.17,1.580723524
PTN002,3130.53,1.603123665
PTN002,3145.69,1.624672174
PTN002,3194.01,1.647679567
PTN002,3279.27,1.67045927
PTN002,3309.58,1.69329834
PTN002,3352.69,1.716212749
PTN002,3383.48,1.738898277
PTN002,3416.63,1.761845112
PTN002,3479.16,1.785004616
PTN002,3511.37,1.807840347
PTN002,3497.16,1.829202414
PTN002,3511.84,1.850672722
PTN002,3523.68,1.872866154
PTN002,3557.31,1.896148443
PTN002,3614.63,1.918934107
PTN002,3614.15,1.940880537
PTN002,3642.1,1.963824272
PTN002,3697.52,1.986831188
PTN002,3715.52,2.009489059
PTN002,3748.68,2.032721758
PTN002,3766.68,2.055298567
PTN002,3811.2,2.079392433
PTN002,3856.2,2.102885723
PTN002,3869.46,2.12547493
PTN002,3871.83,2.147734404
PTN002,3881.78,2.17086792
PTN002,3912.09,2.193142176
PTN002,3945.72,2.216400623
PTN002,3954.25,2.238928556
PTN002,3951.88,2.261365891
PTN002,3988.35,2.284651995
PTN002,4004.93,2.307949305
PTN002,4040.46,2.330714226
PTN002,4048.98,2.353239298
PTN002,4052.77,2.376358986
PTN002,4099.67,2.399353027
PTN002,4127.61,2.423591852
PTN002,4136.61,2.446013927
